trial;present;key;iter_ns;rec_ns;iter_found;rec_found
406;0;5224.3114500000;200;100;0;0
407;0;11.0214500000;100;100;0;0
408;0;7780.7514500000;100;100;0;0
409;1;3001.7020000000;100;100;1;1
410;1;14121.1340000002;200;100;1;1
411;0;7793.7074500000;100;100;0;0
412;0;3901.1294500000;100;100;0;0
413;0;14434.3384500002;100;100;0;0
414;1;16167.7490000002;100;100;1;1
415;1;14745.1840000002;100;100;1;1
416;1;3914.0760000000;100;100;1;1
417;1;8351.7850000000;100;100;1;1
418;1;396.1320000000;0;0;1;1
419;1;2692.2280000000;100;100;1;1
420;1;8273.7050000000;0;100;1;1
421;1;15478.7500000002;100;100;1;1
422;1;10260.1910000001;100;0;1;1
423;1;9085.5820000000;100;0;1;1
424;1;921.3180000000;100;0;1;1
425;1;3481.0820000000;200;100;1;1
426;1;14417.7580000002;100;100;1;1
427;0;4106.4364500000;100;100;0;0
428;0;16237.9804500002;100;100;0;0
429;1;7575.6460000000;100;100;1;1
430;0;7180.5614500000;100;100;0;0
431;0;14339.0354500002;100;100;0;0
432;1;12815.7680000002;200;100;1;1
433;0;2576.7404500000;100;100;0;0
434;1;13528.4470000002;100;0;1;1
435;1;3617.6510000000;0;0;1;1
436;0;9376.5694500000;100;100;0;0
437;1;4960.7220000000;100;100;1;1
438;1;14432.2090000002;100;100;1;1
439;0;1035.0704500000;100;100;0;0
440;0;11577.0154500001;100;0;0;0
441;0;14435.4444500002;100;100;0;0
442;0;4867.9114500000;100;100;0;0
443;0;2132.0534500000;100;100;0;0
444;0;5378.5484500000;100;100;0;0
445;1;5512.4980000000;100;100;1;1
446;0;4828.7584500000;100;0;0;0
447;0;3060.5734500000;100;100;0;0
448;1;2192.2870000000;100;100;1;1
449;1;3898.2440000000;100;100;1;1
450;1;7062.5780000000;100;100;1;1
451;1;3889.0780000000;0;0;1;1
452;0;3314.6974500000;100;100;0;0
453;0;685.6564500000;100;100;0;0
454;0;8459.7294500000;100;0;0;0
455;0;13995.9854500002;100;100;0;0
456;1;447.9890000000;100;100;1;1
457;1;16043.7780000002;100;100;1;1
458;1;11033.3960000001;200;100;1;1
459;0;10519.1024500001;100;200;0;0
460;0;9667.7864500000;100;100;0;0
461;1;1947.0120000000;100;100;1;1
462;0;8312.6334500000;100;100;0;0
463;0;13279.8514500002;100;100;0;0
464;1;10399.0610000001;100;100;1;1
465;0;7074.0334500000;100;100;0;0
466;0;6718.7624500000;100;0;0;0
467;1;14584.5300000002;100;100;1;1
468;1;71.4340000000;100;100;1;1
469;1;2393.8270000000;100;100;1;1
470;0;16095.0474500002;100;100;0;0
471;1;9255.2780000000;100;100;1;1
472;1;2071.4480000000;100;100;1;1
473;1;1270.0850000000;100;100;1;1
474;0;9758.2814500001;100;100;0;0
475;0;10080.6144500000;100;100;0;0
476;0;10675.8294500001;100;100;0;0
477;1;2986.8150000000;100;100;1;1
478;0;789.1164500000;100;100;0;0
479;0;377.5184500000;100;100;0;0
480;0;2969.6684500000;100;100;0;0
481;0;3220.5534500000;100;100;0;0
482;0;6060.2604500000;100;100;0;0
483;1;2438.8760000000;100;100;1;1
484;1;1891.0480000000;100;100;1;1
485;1;6502.4490000000;200;100;1;1
486;0;12756.9354500002;100;100;0;0
487;0;1611.7284500000;100;0;0;0
488;0;10713.4754500001;100;100;0;0
489;1;8293.4050000000;100;100;1;1
490;1;11307.8870000001;100;200;1;1
491;1;2471.6660000000;100;100;1;1
492;1;15055.2190000002;100;0;1;1
493;0;11483.7964500001;100;100;0;0
494;0;14926.6754500002;100;100;0;0
495;1;5804.4830000000;100;100;1;1
496;1;2967.7760000000;100;100;1;1
497;0;12519.5194500001;100;100;0;0
498;1;15516.3130000002;100;100;1;1
499;1;3947.2600000000;100;100;1;1
500;0;3476.1204500000;100;100;0;0
501;1;5846.2130000000;0;100;1;1
502;1;6863.2780000000;100;100;1;1
503;0;10348.1564500001;100;100;0;0
504;0;13050.1014500002;100;100;0;0
505;1;6642.5680000000;100;100;1;1
506;1;9963.5040000001;100;100;1;1
507;0;10189.0834500001;100;100;0;0
508;1;5490.0660000000;100;100;1;1
